Day,Section,Round Number,Continued From Early,Scheduled Start,Scheduled End,Client Name,Slot Info,Postcode,Original Start,Shift (min),Shift Note
Sat,EARLY,1,No,07:00,07:45,Client 23,,DA11 8PJ,07:00,0,no shift
Sat,EARLY,1,No,07:48,08:18,Client 45,,DA11 7JR,07:45,3,shifted 3 min later
Sat,EARLY,1,No,08:20,09:05,Client 66,,DA11 7JP,08:15,5,shifted 5 min later
Sat,EARLY,1,No,09:07,10:07,Client 16,,DA11 8LW,09:00,7,shifted 7 min later
Sat,EARLY,1,No,10:13,10:43,Client 30,,DA13 9JP,10:00,13,shifted 13 min later
Sat,EARLY,1,No,11:42,13:12,Client 7,,DA3 7RR,11:45,-3,shifted 3 min earlier
Sat,EARLY,1,No,13:30,14:00,Client 75,,DA13 9ND,13:45,-15,shifted 15 min earlier
Sat,EARLY,1,No,14:30,15:30,Client 68,,DA11 0PU,14:45,-15,shifted 15 min earlier
Sat,EARLY,1,No,16:05,16:35,Client 84,,DA12 4DY,16:20,-15,shifted 15 min earlier
Sat,EARLY,1,No,16:45,17:15,Client 4,,DA11 8LR,17:00,-15,shifted 15 min earlier
Sat,LATE,1,Yes,17:25,18:10,Client 75,,DA13 9ND,17:40,-15,shifted 15 min earlier
Sat,LATE,1,Yes,18:16,18:46,Client 59,slot 1 of 2,DA13 9DR,18:30,-14,shifted 14 min earlier
Sat,LATE,1,Yes,18:16,18:46,Client 59,slot 2 of 2,DA13 9DR,18:30,-14,shifted 14 min earlier
Sat,LATE,1,Yes,18:50,19:20,Client 30,,DA13 9JP,19:00,-10,shifted 10 min earlier
Sat,LATE,1,Yes,19:26,19:56,Client 5,,DA13 0EL,19:35,-9,shifted 9 min earlier
Sat,LATE,1,Yes,20:15,20:45,Client 54,,DA13 9DR,20:30,-15,shifted 15 min earlier
Sat,LATE,1,Yes,20:45,21:15,Client 35,,DA13 9DR,21:00,-15,shifted 15 min earlier
Sat,LATE,1,Yes,21:21,21:51,Client 75,,DA13 9ND,21:30,-9,shifted 9 min earlier
Sat,EARLY,2,No,07:30,08:00,Client 59,slot 1 of 2,DA13 9DR,07:45,-15,shifted 15 min earlier
Sat,EARLY,2,No,07:30,08:00,Client 59,slot 2 of 2,DA13 9DR,07:45,-15,shifted 15 min earlier
Sat,EARLY,2,No,08:08,08:38,Client 77,,DA11 7FU,08:00,8,shifted 8 min later
Sat,EARLY,2,No,08:45,09:30,Client 4,,DA11 8LR,09:00,-15,shifted 15 min earlier
Sat,EARLY,2,No,09:37,10:07,Client 2,,DA12 5AS,09:35,2,shifted 2 min later
Sat,EARLY,2,No,10:45,11:45,Client 39,,ME8 0AW,11:00,-15,shifted 15 min earlier
Sat,EARLY,2,No,12:18,12:48,Client 45,,DA11 7JR,12:30,-12,shifted 12 min earlier
Sat,EARLY,2,No,12:50,13:20,Client 16,,DA11 8LW,13:00,-10,shifted 10 min earlier
Sat,LATE,2,Yes,17:45,18:15,Client 61,,DA12 2QN,18:00,-15,shifted 15 min earlier
Sat,LATE,2,Yes,18:30,19:00,Client 70,,DA12 5NT,18:45,-15,shifted 15 min earlier
Sat,LATE,2,Yes,19:30,20:00,Client 77,,DA11 7FU,19:45,-15,shifted 15 min earlier
Sat,LATE,2,Yes,20:06,20:36,Client 4,,DA11 8LR,20:15,-9,shifted 9 min earlier
Sat,LATE,2,Yes,20:48,21:18,Client 55,,ME3 7ER,20:55,-7,shifted 7 min earlier
Sat,LATE,2,Yes,21:19,21:49,Client 42,slot 1 of 2,ME3 7EW,21:30,-11,shifted 11 min earlier
Sat,LATE,2,Yes,21:19,21:49,Client 42,slot 2 of 2,ME3 7EW,21:30,-11,shifted 11 min earlier
Sat,EARLY,3,No,07:00,07:30,Client 48,,DA10 0AZ,07:00,0,no shift
Sat,EARLY,3,No,08:45,09:45,Client 20,slot 1 of 2,DA2 6DA,09:00,-15,shifted 15 min earlier
Sat,EARLY,3,No,08:45,09:45,Client 20,slot 2 of 2,DA2 6DA,09:00,-15,shifted 15 min earlier
Sat,EARLY,3,No,09:50,10:35,Client 62,,DA2 6RW,10:00,-10,shifted 10 min earlier
Sat,EARLY,3,No,10:44,11:14,Client 19,,DA9 9QD,10:45,-1,shifted 1 min earlier
Sat,EARLY,3,No,11:45,12:15,Client 8,,DA1 1YH,12:00,-15,shifted 15 min earlier
Sat,EARLY,3,No,12:20,12:50,Client 62,,DA2 6RW,12:15,5,shifted 5 min later
Sat,EARLY,3,No,13:02,14:02,Client 34,,DA1 2PU,13:00,2,shifted 2 min later
Sat,EARLY,3,No,14:45,15:15,Client 2,,DA12 5AS,15:00,-15,shifted 15 min earlier
Sat,LATE,3,Yes,17:02,17:32,Client 19,,DA9 9QD,16:50,12,shifted 12 min later
Sat,LATE,3,Yes,17:44,18:14,Client 35,,DA13 9DR,17:30,14,shifted 14 min later
Sat,LATE,3,Yes,18:14,18:44,Client 54,,DA13 9DR,18:00,14,shifted 14 min later
Sat,LATE,3,Yes,19:15,19:45,Client 21,,DA2 8BY,19:30,-15,shifted 15 min earlier
Sat,LATE,3,Yes,19:55,20:55,Client 7,,DA3 7RR,20:10,-15,shifted 15 min earlier
Sat,LATE,3,Yes,21:15,21:45,Client 20,slot 1 of 2,DA2 6DA,21:30,-15,shifted 15 min earlier
Sat,LATE,3,Yes,21:15,21:45,Client 20,slot 2 of 2,DA2 6DA,21:30,-15,shifted 15 min earlier
